seq	date	d-trip	d-going	location	x-daily	x-cuml	t-daily	t-cuml	v-daily	v-cuml	x-togo-us	x-togo-ca	t-ogo-ak	x-togo	x-trip-tot	x-pct-trip	x-pct-togo	v-trip	d-togo-days	d-togo-hrs	d-togo	d-cuml-days	d-cuml-hrs	d-cuml	d-tot-days	d-tot-hrs	d-tot
0	Thu 13-Sep-18	0	0	"Homewood, AL"	0	0	0:00	0:00	55	55	2167	1877	228	4273	4273	0%	100%	437	9	6	9 days 6 hrs	0	0	0 days 0 hrs	9	6	9 days 6 hrs
1	Thu 13-Sep-18	1	1	"Trumann, AR"	292	292	6:15	6:15	47	47	1809	1877	228	3914	4206	7%	93%	374	10	4	10 days 4 hrs	0	6	0 days 6 hrs	11	2	11 days 2 hrs
2	Fri 14-Sep-18	2	2	"Rockport, MO"	561	853	12:05	18:20	46	47	1296	1877	228	3401	4255	20%	80%	372	9	1	9 days 1 hrs	2	2	2 days 2 hrs	11	3	11 days 3 hrs
3	Sat 15-Sep-18	3	3	"Mitchell, SD"	319	1172	6:30	24:50	49	47	979	1877	228	3084	4256	28%	72%	378	8	1	8 days 1 hrs	3	1	3 days 1 hrs	11	2	11 days 2 hrs
4	Sun 16-Sep-18	4		"Mitchell, SD"	0	1172	0:00	24:50		47	979	1877	228	3084	4256	28%	72%	378	8	1	8 days 1 hrs	3	1	3 days 1 hrs	11	2	11 days 2 hrs
5	Mon 17-Sep-18	5		"Mitchell, SD"	0	1172	0:00	24:50		47	979	1877	228	3084	4256	28%	72%	378	8	1	8 days 1 hrs	3	1	3 days 1 hrs	11	2	11 days 2 hrs
6	Tue 18-Sep-18	6	4	"Oacoma, SD"	72	1244	1:30	26:20	48	47	908	1877	228	3014	4258	29%	71%	378	7	8	7 days 8 hrs	3	2	3 days 2 hrs	11	2	11 days 2 hrs
7	Wed 19-Sep-18	7	5	"Moorcroft, WY"	313	1557	7:00	33:20	45	47	651	1877	228	2756	4314	36%	64%	374	7	3	7 days 3 hrs	4	1	4 days 1 hrs	11	4	11 days 4 hrs
8	Thu 20-Sep-18	8	6	"Bellgrade, MT"	413	1970	8:45	42:05	47	47	304	1877	228	2409	4379	45%	55%	374	6	3	6 days 3 hrs	5	2	5 days 2 hrs	11	6	11 days 6 hrs
9	Fri 21-Sep-18	9	7	"Milk River, AB"	304	2274	6:15	48:20	49	47	0	1871	228	2099	4373	52%	48%	376	5	5	5 days 5 hrs	6	0	6 days 0 hrs	11	5	11 days 5 hrs
10	Sat 22-Sep-18	10	8	"Innisfail, AB"	254	2527	7:00	55:20	36	46	0	1619	228	1847	4374	58%	42%	365	5	0	5 days 0 hrs	6	7	6 days 7 hrs	11	8	11 days 8 hrs
11	Sun 23-Sep-18	11	9	"Valley View, AB"	329	2856	8:00	63:20	41	45	0	1316	228	1544	4400	65%	35%	361	4	2	4 days 2 hrs	7	7	7 days 7 hrs	12	2	12 days 2 hrs
12	Mon 24-Sep-18	12	10	"Pink Mountain, BC"	288	3144	8:00	71:20	36	44	0	1028	228	1256	4400	71%	29%	353	3	5	3 days 5 hrs	8	7	8 days 7 hrs	12	4	12 days 4 hrs
13	Tue 25-Sep-18	13	11	"Toad River, BC"	260	3403	8:00	79:20	32	43	0	769	228	997	4401	77%	23%	343	2	7	2 days 7 hrs	9	7	9 days 7 hrs	12	7	12 days 7 hrs
14	Wed 26-Sep-18	14	12	"Watson Lake, YT"	202	3605	6:00	85:20	34	42	0	567	228	795	4401	82%	18%	338	2	3	2 days 3 hrs	10	5	10 days 5 hrs	13	0	13 days 0 hrs
15	Thu 27-Sep-18	15	13	"Haines Junction, YT"	367	3972	8:30	93:50	43	42	0	201	228	429	4401	90%	10%	339	1	2	1 days 2 hrs	11	6	11 days 6 hrs	12	8	12 days 8 hrs
16	Fri 28-Sep-18	16	14	"Tok, AK"	290	4262	7:30	101:20	39	42	0	0	139	139	4401	97%	3%	336	0	3	0 days 3 hrs	12	5	12 days 5 hrs	13	1	13 days 1 hrs
17	Sat 29-Sep-18	17		"Tok, AK"	0	4262	0:00	101:20		42	0	0	139	139	4401	97%	3%	336	0	3	0 days 3 hrs	12	5	12 days 5 hrs	13	1	13 days 1 hrs
18	Sun 30-Sep-18	18	15	"Fairbanks, AK"	190	4452	5:00	106:20	38	42	0	0	0	0	4452	100%	0%	335	0	0	0 days 0 hrs	13	2	13 days 2 hrs	13	2	13 days 2 hrs
