seq	date	city	high0	low0	avg0	precip0	dew-pt0	wind0	press0	daylong0	high	low	avg	precip	dew-pt	wind	press	daylong	lat	long	lat-string	lon-string	elev
1	Thu 13-Sep-18	"Trumann, AR"	94	74	84	0.05	72	16	30.12	12:27	88	67	78	0.00	71	7	30.13	12:29	35.6732700	-90.5202100	N 35? 40'  24''	W 090? 31'  13''	226
2	Fri 14-Sep-18	"Rock Port, MO"	95	72	84	0	72	14	30.07	12:25	89	67	78	0.00	67	17	30.08	12:31	40.4108600	-95.5148600	N 40? 24'  39''	W 095? 30'  53''	942
3	Sat 15-Sep-18	"Mitchell, SD"	97	71	84	0	69	17	29.97	12:23	94	64	79	0.00	66	25	30.03	12:31	43.7094270	-98.0298000	N 43? 42'  34''	W 098? 01'  47''	1312
4	Sun 16-Sep-18	"Mitchell, SD"	94	70	82	0	68	14	29.91	12:21	92	69	81	0.00	65	28	29.93	12:28	43.7094270	-98.0298000	N 43? 42'  34''	W 098? 01'  47''	1312
5	Mon 17-Sep-18	"Mitchell, SD"	93	70	82	0	68	12	29.99	12:19	75	59	67	0.53	60	26	30.03	12:25	43.7094270	-98.0298000	N 43? 42'  34''	W 098? 01'  47''	1312
6	Tue 18-Sep-18	"Oacoma, SD"	95	71	83	0	67	10	30.02	12:17	75	55	66	0.52	60	24	29.94	12:21	43.7980000	-99.3954800	N 43? 47'  53''	W 099? 23'  44''	1385
7	Wed 19-Sep-18	"Moorcroft, WY"	97	71	84	0	64	10	30.04	12:15	59	50	54	0.00	50	20	25.70		44.2635000	-104.9502300	N 44? 15'  49''	W 104? 57'  01''	4226
8	Thu 20-Sep-18	"Belgrade, MT"	97	72	85	0	65	14	30.11	12:13	65	37	51	0.05	41	20	30.16	12:17	45.7762000	-111.1771500	N 45? 46'  34''	W 111? 10'  38''	4459
9	Fri 21-Sep-18	"Milk River, AB"	93	78	86	0	69	13	30.16	12:11	65	37	51	0.00	42	14	30.15	12:15	49.1518100	-112.0764300	N 49? 09'  07''	W 112? 04'  35''	3474
10	Sat 22-Sep-18	"Innisfail, AB"	95	76	86	0	67	14	30.09	12:09	32	28	30	0.00	29	14	30.20	12:13	52.0221100	-113.9636200	N 52? 01'  20''	W 113? 57'  49''	3100
11	Sun 23-Sep-18	"Valleyview, AB"	93	72	83	0	68	21	30.06	12:07	55	26	40	0.00	30	15		12:09	55.0655000	-117.2808900	N 55? 03'  56''	W 117? 16'  51''	2300
12	Mon 24-Sep-18	"Pink Mountain, BC"	91	72	82	0.73	70	24	30.10	12:05	61	32	46.5	0.00	36	18	27.90		57.0379000	-122.5070300	N 57? 02'  16''	W 122? 30'  25''	1114
13	Tue 25-Sep-18	"Toad River, BC"	91	72	82	0.02	71	18	30.15	12:03	68	39	53.5	0.00	32	25	28.60		58.8476000	-125.2314700	N 58? 50'  51''	W 125? 13'  53''	2400
14	Wed 26-Sep-18	"Watson Lake, YT"	80	71	76	1.82	72	17	30.11	12:01	53	29	41	0.00	31	8	30.36	11:54	60.0628800	-128.7120800	N 60? 03'  46''	W 128? 42'  43''	2280
15	Thu 27-Sep-18	"Haines Junction, YT"	80	71	76	0.86	71	25	30.05	11:59	46	23	34	0.00	26	2	30.51	11:48	60.7525100	-137.5100300	N 60? 45'  09''	W 137? 30'  36''	2150
16	Fri 28-Sep-18	"Tok, AK"	81	68	74	0	68	9	30.17	11:56	53	21	37	0.00	27	7	30.45	11:41	63.3359600	-142.9877200	N 63? 20'  09''	W 142? 59'  16''	1620
