seq	date	d-trip	d-going	location	x-daily	x-cuml	t-daily	t-cuml	v-daily	v-cuml	x-togo-us	x-togo-ca	x-togo-ak	x-togo	x-trip-tot	x-pct-trip	x-pct-togo	v-trip	d-togo-days	d-togo-hrs	d-togo	d-cuml-days	d-cuml-hrs	d-cuml	d-tot-days	d-tot-hrs	d-cuml
0	Thu 13-Sep-18	0	0	"Homewood, AL"	0	0	0:00	0:00	88	88	3488	3021	367	6876	6876	0%	100%	704	9	6	9 days 6 hrs	0	0	0 days 0 hrs	9	6	9 days 6 hrs
1	Thu 13-Sep-18	1	1	"Trumann, AR"	470	470	6:15	6:15	75	75	2911	3021	367	6299	6769	7%	93%	602	10	4	10 days 4 hrs	0	6	0 days 6 hrs	11	2	11 days 2 hrs
2	Fri 14-Sep-18	2	2	"Rockport, MO"	903	1373	12:05	18:20	75	75	2086	3021	367	5474	6847	20%	80%	599	9	1	9 days 1 hrs	2	2	2 days 2 hrs	11	3	11 days 3 hrs
3	Sat 15-Sep-18	3	3	"Mitchell, SD"	513	1886	6:30	24:50	79	76	1576	3021	367	4964	6850	28%	72%	608	8	1	8 days 1 hrs	3	1	3 days 1 hrs	11	2	11 days 2 hrs
4	Sun 16-Sep-18	4		"Mitchell, SD"	0	1886	0:00	24:50		76	1576	3021	367	4964	6850	28%	72%	608	8	1	8 days 1 hrs	3	1	3 days 1 hrs	11	2	11 days 2 hrs
5	Mon 17-Sep-18	5		"Mitchell, SD"	0	1886	0:00	24:50		76	1576	3021	367	4964	6850	28%	72%	608	8	1	8 days 1 hrs	3	1	3 days 1 hrs	11	2	11 days 2 hrs
6	Tue 18-Sep-18	6	4	"Oacoma, SD"	116	2002	1:30	26:20	77	76	1462	3021	367	4850	6852	29%	71%	608	7	8	7 days 8 hrs	3	2	3 days 2 hrs	11	2	11 days 2 hrs
7	Wed 19-Sep-18	7	5	"Moorcroft, WY"	504	2506	7:00	33:20	72	75	1048	3021	367	4436	6942	36%	64%	601	7	3	7 days 3 hrs	4	1	4 days 1 hrs	11	4	11 days 4 hrs
8	Thu 20-Sep-18	8	6	"Bellgrade, MT"	664	3170	8:45	42:05	76	75	489	3021	367	3877	7047	45%	55%	603	6	3	6 days 3 hrs	5	2	5 days 2 hrs	11	6	11 days 6 hrs
9	Fri 21-Sep-18	9	7	"Milk River, AB"	489	3659	6:15	48:20	78	76	0	3011	367	3378	7037	52%	48%	606	5	5	5 days 5 hrs	6	0	6 days 0 hrs	11	5	11 days 5 hrs
10	Sat 22-Sep-18	10	8	"Innisfail, AB"	408	4067	7:00	55:20	58	74	0	2606	367	2973	7040	58%	42%	588	5	0	5 days 0 hrs	6	7	6 days 7 hrs	11	8	11 days 8 hrs
11	Sun 23-Sep-18	11	9	"Valley View, AB"	529	4596	8:00	63:20	66	73	0	2118	367	2485	7081	65%	35%	581	4	2	4 days 2 hrs	7	7	7 days 7 hrs	12	2	12 days 2 hrs
12	Mon 24-Sep-18	12	10	"Pink Mountain, BC"	463	5059	8:00	71:20	58	71	0	1655	367	2022	7081	71%	29%	567	3	5	3 days 5 hrs	8	7	8 days 7 hrs	12	4	12 days 4 hrs
13	Tue 25-Sep-18	13	11	"Toad River, BC"	418	5477	8:00	79:20	52	69	0	1238	367	1605	7082	77%	23%	552	2	7	2 days 7 hrs	9	7	9 days 7 hrs	12	7	12 days 7 hrs
14	Wed 26-Sep-18	14	12	"Watson Lake, YT"	325	5802	6:00	85:20	54	68	0	913	367	1280	7082	82%	18%	544	2	3	2 days 3 hrs	10	5	10 days 5 hrs	13	0	13 days 0 hrs
15	Thu 27-Sep-18	15	13	"Haines Junction, YT"	590	6392	8:30	93:50	69	68	0	323	367	690	7082	90%	10%	545	1	2	1 days 2 hrs	11	6	11 days 6 hrs	12	8	12 days 8 hrs
16	Fri 28-Sep-18	16	14	"Tok, AK"	467	6859	7:30	101:20	62	68	0	0	223	223	7082	97%	3%	542	0	3	0 days 3 hrs	12	5	12 days 5 hrs	13	1	13 days 1 hrs
17	Sat 29-Sep-18	17		"Tok, AK"	0	6859	0:00	101:20		68	0	0	223	223	7082	97%	3%	542	0	3	0 days 3 hrs	12	5	12 days 5 hrs	13	1	13 days 1 hrs
18	Sun 30-Sep-18	18	15	"Fairbanks, AK"	305	7164	5:00	106:20	61	67	0	0	0	0	7164	100%	0%	539	0	0	0 days 0 hrs	13	2	13 days 2 hrs	13	2	13 days 2 hrs

